产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"Memorex 路由器, 实惠",4,6,"3,308","12,045","9,192",提前装运,36%,"3,308",2016/9/17,中国,东北,长春,配件,廖立,0%,8,吉林,技术,小型企业,US-2016-1120887,2016/9/13,标准级,"9,192"
"Cameo 外皮和封条, 每套 50 个",5,6,18,257,196,提前装运,9%,18,2016/9/18,中国,西南,遂宁,信封,孙诚,0%,2,四川,办公用品,消费者,CN-2016-2366851,2016/9/13,标准级,196
"Enermax 令, 优质",5,6,16,522,399,提前装运,4%,16,2016/9/18,中国,西南,遂宁,纸张,孙诚,0%,3,四川,办公用品,消费者,CN-2016-2366851,2016/9/13,标准级,399
"三星 音频基座, 混合尺寸",5,6,31,"2,490","1,900",提前装运,2%,31,2016/9/18,中国,西南,遂宁,电话,孙诚,40%,4,四川,技术,消费者,CN-2016-2366851,2016/9/13,标准级,"1,900"
"Enermax 令, 每包 12 个",6,6,50,598,457,准时装运,11%,50,2016/9/19,中国,华东,泰兴,纸张,冯立,0%,3,江苏,办公用品,消费者,CN-2016-4015472,2016/9/13,标准级,457
"SAFCO 扶手椅, 红色",6,6,86,"1,693","1,292",准时装运,7%,86,2016/9/19,中国,华东,常州,椅子,武磊,40%,1,江苏,家具,公司,CN-2016-5966135,2016/9/13,标准级,"1,292"
"Eldon 框架, 一包多件",6,6,759,"2,845","2,171",准时装运,35%,759,2016/9/19,中国,华东,菏泽,用具,罗安,0%,4,山东,家具,消费者,US-2016-4597424,2016/9/13,标准级,"2,171"
"思科 耳机, 蓝色",6,6,86,973,743,准时装运,12%,86,2016/9/19,中国,华东,泰兴,电话,冯立,40%,3,江苏,技术,消费者,CN-2016-4015472,2016/9/13,标准级,743
"Harbour Creations 凳子, 红色",2,3,168,"1,101",841,提前装运,20%,168,2016/9/16,中国,华东,合肥,椅子,钱宁,0%,1,安徽,家具,公司,CN-2016-2271818,2016/9/14,二级,841
"Hon 折叠椅, 黑色",2,3,55,"1,449","1,106",提前装运,5%,55,2016/9/16,中国,华东,合肥,椅子,钱宁,0%,3,安徽,家具,公司,CN-2016-2271818,2016/9/14,二级,"1,106"
"Hewlett 复印机, 数字化",2,3,836,"6,441","4,915",提前装运,17%,836,2016/9/16,中国,华东,合肥,复印机,钱宁,0%,4,安徽,技术,公司,CN-2016-2271818,2016/9/14,二级,"4,915"
"三星 智能手机, 整包",2,3,103,"2,263","1,727",提前装运,6%,103,2016/9/16,中国,华东,合肥,电话,钱宁,0%,3,安徽,技术,公司,CN-2016-2271818,2016/9/14,二级,"1,727"
"Enermax 键盘, 回收",5,6,-133,"1,491","1,138",提前装运,-12%,-133,2016/9/19,中国,西南,德阳,配件,邹妮,40%,5,四川,技术,公司,US-2016-2752724,2016/9/14,标准级,"1,138"
"Memorex 记忆卡, 实惠",0,0,29,"1,876","1,432",准时装运,2%,29,2016/9/16,中国,华北,北京,配件,邵黎明,0%,3,北京,技术,小型企业,CN-2016-3954075,2016/9/16,当日,"1,432"
"Smead 搁板, 工业",3,3,96,"2,115","1,614",准时装运,6%,96,2016/9/19,中国,东北,榆树,收纳具,谭忠,0%,7,吉林,办公用品,小型企业,CN-2016-1361457,2016/9/16,二级,"1,614"
"Rogers 搁板, 工业",4,6,23,"1,531","1,169",提前装运,2%,23,2016/9/20,中国,中南,许昌,收纳具,万达侠,0%,4,河南,办公用品,公司,CN-2016-1900344,2016/9/16,标准级,"1,169"
"Kleencut 修剪器, 钢",4,6,95,499,381,提前装运,25%,95,2016/9/20,中国,中南,许昌,用品,万达侠,0%,2,河南,办公用品,公司,CN-2016-1900344,2016/9/16,标准级,381
"Bevis 培训桌, 组装",4,6,502,"12,345","9,421",提前装运,5%,502,2016/9/20,中国,中南,许昌,桌子,万达侠,25%,8,河南,家具,公司,CN-2016-1900344,2016/9/16,标准级,"9,421"
"Hon 沙滩椅, 黑色",4,6,-48,705,538,提前装运,-9%,-48,2016/9/20,中国,中南,珠海,椅子,钟虹,10%,3,广东,家具,小型企业,US-2016-4644475,2016/9/16,标准级,538
"Stanley 速写本, 混合尺寸",5,6,-414,175,133,提前装运,-310%,-414,2016/9/21,中国,华东,临海,美术,钟丽,80%,3,浙江,办公用品,小型企业,US-2016-3285234,2016/9/16,标准级,133
"Bush 书架, 白色",5,6,35,"1,387","1,059",提前装运,3%,35,2016/9/21,中国,西南,自贡,书架,邹妮,40%,3,四川,家具,公司,CN-2016-2275835,2016/9/16,标准级,"1,059"
"Acme 尺子, 锯齿状",1,1,71,246,188,准时装运,38%,71,2016/9/18,中国,华东,泉州,用品,徐菊,0%,3,福建,办公用品,消费者,CN-2016-1887568,2016/9/17,一级,188
"Advantus 订书钉, 金属",1,1,15,67,51,准时装运,29%,15,2016/9/18,中国,华东,泉州,系固件,徐菊,0%,1,福建,办公用品,消费者,CN-2016-1887568,2016/9/17,一级,51
"Cameo 商业信封, 每套 50 个",1,1,190,518,396,准时装运,48%,190,2016/9/18,中国,西南,贵阳,信封,潘谙,0%,5,贵州,办公用品,消费者,CN-2016-2295401,2016/9/17,一级,396
"Acco 打孔机, 透明",1,1,63,362,276,准时装运,23%,63,2016/9/18,中国,西南,贵阳,装订机,潘谙,0%,2,贵州,办公用品,消费者,CN-2016-2295401,2016/9/17,一级,276
"惠普 传真机, 红色",1,1,"5,425","18,232","13,913",准时装运,39%,"5,425",2016/9/18,中国,华东,泉州,复印机,徐菊,0%,10,福建,技术,消费者,CN-2016-1887568,2016/9/17,一级,"13,913"
"Fellowes 盘, 蓝色",2,3,123,702,536,提前装运,23%,123,2016/9/19,中国,西北,平凉,收纳具,倪乐,0%,2,甘肃,办公用品,小型企业,CN-2016-4111983,2016/9/17,二级,536
"施乐 令, 回收",2,3,33,482,368,提前装运,9%,33,2016/9/19,中国,华东,烟台,纸张,罗婵,0%,3,山东,办公用品,消费者,CN-2016-2872339,2016/9/17,二级,368
"Bush 书库, 金属",2,3,"-3,260","8,009","6,112",提前装运,-53%,"-3,260",2016/9/19,中国,西北,平凉,书架,倪乐,40%,6,甘肃,家具,小型企业,CN-2016-4111983,2016/9/17,二级,"6,112"
"Dania 书库, 白色",2,3,-358,"4,017","3,065",提前装运,-12%,-358,2016/9/19,中国,西北,平凉,书架,倪乐,40%,3,甘肃,家具,小型企业,CN-2016-4111983,2016/9/17,二级,"3,065"
"Brother 无线传真机, 每套两件",2,3,"-1,503","6,949","5,303",提前装运,-28%,"-1,503",2016/9/19,中国,西北,平凉,复印机,倪乐,40%,5,甘肃,技术,小型企业,CN-2016-4111983,2016/9/17,二级,"5,303"
"Ames 商业信封, 红色",4,6,54,222,170,提前装运,32%,54,2016/9/21,中国,华北,张家口,信封,夏明媚,0%,2,河北,办公用品,公司,CN-2016-2353754,2016/9/17,标准级,170
"GlobeWeis 搭扣信封, 银色",4,6,156,527,402,提前装运,39%,156,2016/9/21,中国,华北,张家口,信封,夏明媚,0%,7,河北,办公用品,公司,CN-2016-2353754,2016/9/17,标准级,402
"Smead 盘, 金属",4,6,266,872,666,提前装运,40%,266,2016/9/21,中国,华北,张家口,收纳具,夏明媚,0%,3,河北,办公用品,公司,CN-2016-2353754,2016/9/17,标准级,666
"施乐 信纸, 每包 12 个",4,6,449,"1,201",917,提前装运,49%,449,2016/9/21,中国,华北,张家口,纸张,夏明媚,0%,4,河北,办公用品,公司,CN-2016-2353754,2016/9/17,标准级,917
"Ames 搭扣信封, 银色",4,6,1,176,134,提前装运,1%,1,2016/9/21,中国,西南,德阳,信封,徐虢,0%,3,四川,办公用品,公司,CN-2016-3789495,2016/9/17,标准级,134
"Smead 盘, 工业",4,6,78,299,228,提前装运,34%,78,2016/9/21,中国,华东,宿州,收纳具,谭乐,0%,1,安徽,办公用品,消费者,CN-2016-4690757,2016/9/17,标准级,228
"Green Bar 笔记本, 优质",4,6,400,"1,093",834,提前装运,48%,400,2016/9/21,中国,华东,宿州,纸张,谭乐,0%,6,安徽,办公用品,消费者,CN-2016-4690757,2016/9/17,标准级,834
"Lesro 电脑桌, 白色",4,6,422,"5,924","4,521",提前装运,9%,422,2016/9/21,中国,华北,张家口,桌子,夏明媚,25%,3,河北,家具,公司,CN-2016-2353754,2016/9/17,标准级,"4,521"
"Lesro 培训桌, 长方形",4,6,-211,"1,222",932,提前装运,-23%,-211,2016/9/21,中国,华东,宿州,桌子,谭乐,25%,1,安徽,家具,消费者,CN-2016-4690757,2016/9/17,标准级,932
"GlobeWeis 马尼拉纸信封, 银色",2,1,28,364,278,延迟装运,10%,28,2016/9/20,中国,中南,襄城,信封,贺斯云,0%,2,河南,办公用品,消费者,CN-2016-4544243,2016/9/18,一级,278
"Acme 美工刀, 锯齿状",2,3,349,"1,477","1,127",提前装运,31%,349,2016/9/20,中国,西南,重庆,用品,施良,0%,7,重庆,办公用品,消费者,CN-2016-3127854,2016/9/18,二级,"1,127"
"Advantus 橡皮筋, 金属",2,3,11,511,390,提前装运,3%,11,2016/9/20,中国,西南,重庆,系固件,施良,0%,5,重庆,办公用品,消费者,CN-2016-3127854,2016/9/18,二级,390
"Deflect-O 闹钟, 一包多件",2,1,65,"1,294",987,延迟装运,7%,65,2016/9/20,中国,东北,凌源,用具,田武,40%,7,辽宁,家具,公司,US-2016-2841000,2016/9/18,一级,987
"Harbour Creations 扶手椅, 红色",2,1,751,"2,607","1,989",延迟装运,38%,751,2016/9/20,中国,中南,襄城,椅子,贺斯云,10%,1,河南,家具,消费者,CN-2016-4544243,2016/9/18,一级,"1,989"
"摩托罗拉 耳机, 混合尺寸",2,3,154,505,385,提前装运,40%,154,2016/9/20,中国,西南,重庆,电话,施良,0%,1,重庆,技术,消费者,CN-2016-3127854,2016/9/18,二级,385
"苹果 音频基座, 整包",2,3,296,"2,042","1,558",提前装运,19%,296,2016/9/20,中国,西南,重庆,电话,施良,0%,2,重庆,技术,消费者,CN-2016-3127854,2016/9/18,二级,"1,558"
"柯尼卡 卡片打印机, 耐用",2,3,98,"2,144","1,636",提前装运,6%,98,2016/9/20,中国,西南,重庆,设备,施良,0%,2,重庆,技术,消费者,CN-2016-3127854,2016/9/18,二级,"1,636"
"Rogers 锁柜, 单宽度",4,6,435,"2,589","1,975",提前装运,22%,435,2016/9/22,中国,华东,徐州,收纳具,袁岱,0%,2,江苏,办公用品,小型企业,US-2016-3503696,2016/9/18,标准级,"1,975"
"Fiskars 修剪器, 工业",4,6,31,806,615,提前装运,5%,31,2016/9/22,中国,中南,汕头,用品,邹伟,0%,3,广东,办公用品,消费者,CN-2016-1435617,2016/9/18,标准级,615
"Stockwell 图钉, 混合尺寸",4,6,12,194,148,提前装运,8%,12,2016/9/22,中国,中南,周口,系固件,贾伟,0%,3,河南,办公用品,消费者,CN-2016-2747579,2016/9/18,标准级,148
"Harbour Creations 折叠椅, 可调",4,6,-295,"2,578","1,967",提前装运,-15%,-295,2016/9/22,中国,华东,徐州,椅子,袁岱,40%,7,江苏,家具,小型企业,US-2016-3503696,2016/9/18,标准级,"1,967"
"Rubvermaid 相框, 一包多件",4,6,196,950,725,提前装运,27%,196,2016/9/22,中国,中南,周口,用具,贾伟,0%,3,河南,家具,消费者,CN-2016-2747579,2016/9/18,标准级,725
"Hewlett 个人复印机, 每套两件",4,6,134,"2,647","2,020",提前装运,7%,134,2016/9/22,中国,华东,徐州,复印机,袁岱,40%,5,江苏,技术,小型企业,US-2016-3503696,2016/9/18,标准级,"2,020"
"冲电器 电话, 耐用",4,6,60,"1,596","1,218",提前装运,5%,60,2016/9/22,中国,中南,汕头,设备,邹伟,0%,3,广东,技术,消费者,CN-2016-1435617,2016/9/18,标准级,"1,218"
"Rubvermaid 门挡, 耐用",5,6,91,749,572,提前装运,16%,91,2016/9/23,中国,东北,七台河,用具,方惠,0%,3,黑龙江,家具,消费者,CN-2016-5315398,2016/9/18,标准级,572
"思科 充电器, 混合尺寸",5,6,"1,526","20,004","15,266",提前装运,10%,"1,526",2016/9/23,中国,东北,七台河,电话,方惠,0%,5,黑龙江,技术,消费者,CN-2016-5315398,2016/9/18,标准级,"15,266"
"Cameo 马尼拉纸信封, 红色",2,1,64,934,713,延迟装运,9%,64,2016/9/21,中国,西南,遵义,信封,彭丽雪,0%,5,贵州,办公用品,小型企业,CN-2016-2146974,2016/9/19,一级,713
"Eaton 备忘录便条, 回收",2,3,50,417,319,提前装运,16%,50,2016/9/21,中国,华东,姜堰,纸张,贾君,0%,5,江苏,办公用品,消费者,CN-2016-1734605,2016/9/19,二级,319
"Rubvermaid 门挡, 优质",3,3,-67,311,238,准时装运,-28%,-67,2016/9/22,中国,华东,苏州,用具,邹丽雪,40%,2,江苏,家具,小型企业,CN-2016-5848215,2016/9/19,二级,238
"Binney & Smith 记号笔, 金属",4,6,56,744,568,提前装运,10%,56,2016/9/23,中国,中南,广州,美术,孟刚,20%,6,广东,办公用品,公司,US-2016-4842730,2016/9/19,标准级,568
"Brother 传真复印机, 红色",4,6,"2,549","10,440","7,967",提前装运,32%,"2,549",2016/9/23,中国,中南,广州,复印机,孟刚,0%,9,广东,技术,公司,US-2016-4842730,2016/9/19,标准级,"7,967"
"夏普 个人复印机, 数字化",4,6,"1,005","8,779","6,700",提前装运,15%,"1,005",2016/9/23,中国,中南,广州,复印机,孟刚,0%,12,广东,技术,公司,US-2016-4842730,2016/9/19,标准级,"6,700"
"苹果 音频基座, 全尺寸",4,6,596,"2,057","1,570",提前装运,38%,596,2016/9/23,中国,中南,广州,电话,孟刚,0%,2,广东,技术,公司,US-2016-4842730,2016/9/19,标准级,"1,570"
"Kraft 商业信封, 回收",5,6,204,839,640,提前装运,32%,204,2016/9/24,中国,华东,厦门,信封,田丹,0%,9,福建,办公用品,消费者,CN-2016-1512811,2016/9/19,标准级,640
"Hoover 炉灶, 白色",5,6,"-2,115","4,158","3,173",提前装运,-67%,"-2,115",2016/9/24,中国,华东,杭州,器具,巩荷,40%,2,浙江,办公用品,消费者,US-2016-3057386,2016/9/19,标准级,"3,173"
"Binney & Smith 画布, 整包",5,6,-145,63,48,提前装运,-300%,-145,2016/9/24,中国,华东,杭州,美术,巩荷,80%,1,浙江,办公用品,消费者,US-2016-3057386,2016/9/19,标准级,48
"Office Star 沙滩椅, 红色",5,6,116,915,699,提前装运,17%,116,2016/9/24,中国,中南,岳阳,椅子,韦磊,10%,3,湖南,家具,小型企业,CN-2016-2661656,2016/9/19,标准级,699
"宜家 古典书架, 金属",5,6,-633,"1,509","1,151",提前装运,-55%,-633,2016/9/24,中国,华东,杭州,书架,巩荷,40%,1,浙江,家具,消费者,US-2016-3057386,2016/9/19,标准级,"1,151"
"Bush 墙角架, 传统",5,6,868,"4,549","3,472",提前装运,25%,868,2016/9/24,中国,华东,厦门,书架,田丹,0%,6,福建,家具,消费者,CN-2016-1512811,2016/9/19,标准级,"3,472"
"Lesro 电脑桌, 长方形",5,6,-358,"1,563","1,193",提前装运,-30%,-358,2016/9/24,中国,华东,厦门,桌子,田丹,40%,1,福建,家具,消费者,CN-2016-1512811,2016/9/19,标准级,"1,193"
"Deflect-O 相框, 耐用",5,6,123,598,457,提前装运,27%,123,2016/9/24,中国,华东,厦门,用具,田丹,0%,2,福建,家具,消费者,CN-2016-1512811,2016/9/19,标准级,457
"夏普 个人复印机, 每套两件",5,6,90,"2,935","2,240",提前装运,4%,90,2016/9/24,中国,华东,厦门,复印机,田丹,0%,4,福建,技术,消费者,CN-2016-1512811,2016/9/19,标准级,"2,240"
"Enermax 记忆卡, 实惠",5,6,448,"2,099","1,601",提前装运,28%,448,2016/9/24,中国,华东,厦门,配件,田丹,0%,3,福建,技术,消费者,CN-2016-1512811,2016/9/19,标准级,"1,601"
"Hamilton Beach 咖啡研磨机, 银色",6,6,18,265,203,准时装运,9%,18,2016/9/25,中国,中南,岳阳,器具,施梦,0%,1,湖南,办公用品,公司,CN-2016-2642546,2016/9/19,标准级,203
"Cardinal 订书机, 耐用",6,6,352,941,718,准时装运,49%,352,2016/9/25,中国,中南,岳阳,装订机,施梦,0%,3,湖南,办公用品,公司,CN-2016-2642546,2016/9/19,标准级,718
"Wilson Jones 装订机盖, 实惠",1,1,138,547,418,准时装运,33%,138,2016/9/21,中国,华东,萍乡,装订机,邹妮,0%,8,江西,办公用品,公司,CN-2016-2448028,2016/9/20,一级,418
"宜家 搁架, 黑色",2,1,0,"2,520","1,923",延迟装运,0%,0,2016/9/22,中国,华东,宝应,书架,施旺,40%,4,江苏,家具,消费者,CN-2016-5569894,2016/9/20,一级,"1,923"
"三星 耳机, 整包",2,3,503,"1,345","1,026",提前装运,49%,503,2016/9/22,中国,华东,宜春,电话,麦磊,0%,3,江西,技术,消费者,CN-2016-2609031,2016/9/20,二级,"1,026"
"苹果 办公室电话机, 整包",2,3,67,400,305,提前装运,22%,67,2016/9/22,中国,华东,宜春,电话,麦磊,0%,1,江西,技术,消费者,CN-2016-2609031,2016/9/20,二级,305
"Acme 开信刀, 蓝色",3,1,48,369,282,延迟装运,17%,48,2016/9/23,中国,华东,泉州,用品,薛健,0%,2,福建,办公用品,公司,CN-2016-4862116,2016/9/20,一级,282
"Fiskars 尺子, 工业",3,1,34,294,225,延迟装运,15%,34,2016/9/23,中国,华东,泉州,用品,薛健,0%,3,福建,办公用品,公司,CN-2016-4862116,2016/9/20,一级,225
"施乐 笔记本, 回收",3,3,232,804,613,准时装运,38%,232,2016/9/23,中国,东北,尚志,纸张,吕灵,0%,5,黑龙江,办公用品,消费者,CN-2016-2609031,2016/9/20,二级,613
"Fellowes 文件夹, 工业",3,3,60,493,376,准时装运,16%,60,2016/9/23,中国,中南,浯溪,收纳具,徐谙,0%,3,湖南,办公用品,消费者,CN-2016-2312244,2016/9/20,二级,376
"Sauder 柜, 白色",3,1,"4,641","14,486","11,054",延迟装运,42%,"4,641",2016/9/23,中国,华东,泉州,书架,薛健,0%,14,福建,家具,公司,CN-2016-4862116,2016/9/20,一级,"11,054"
"Safco 书架, 传统",3,3,"3,886","11,844","9,038",准时装运,43%,"3,886",2016/9/23,中国,东北,尚志,书架,吕灵,0%,13,黑龙江,家具,消费者,CN-2016-2609031,2016/9/20,二级,"9,038"
"松下 电话, 多色",3,3,0,"1,556","1,188",准时装运,0%,0,2016/9/23,中国,东北,尚志,设备,吕灵,0%,3,黑龙江,技术,消费者,CN-2016-2609031,2016/9/20,二级,"1,188"
"Tenex 盘, 金属",4,6,291,977,746,提前装运,39%,291,2016/9/24,中国,华东,衢州,收纳具,邵鹏,0%,3,浙江,办公用品,消费者,CN-2016-1966017,2016/9/20,标准级,746
"StarTech 计算器, 红色",4,6,-159,545,416,提前装运,-38%,-159,2016/9/24,中国,中南,鄂州,设备,秦黎明,40%,4,湖北,技术,公司,CN-2016-5486414,2016/9/20,标准级,416
"Accos 橡皮筋, 整包",5,6,-44,122,93,提前装运,-47%,-44,2016/9/25,中国,中南,武汉,系固件,钟松,40%,2,湖北,办公用品,公司,CN-2016-1516102,2016/9/20,标准级,93
"Advantus 回形针, 每包 12 个",5,6,-46,295,225,提前装运,-20%,-46,2016/9/25,中国,中南,武汉,系固件,钟松,40%,6,湖北,办公用品,公司,CN-2016-1516102,2016/9/20,标准级,225
"GlobeWeis 邮寄品, 每套 50 个",5,6,62,"1,179",900,提前装运,7%,62,2016/9/25,中国,中南,孝感,信封,肖良,0%,5,湖北,办公用品,消费者,CN-2016-2872339,2016/9/20,标准级,900
"Novimex 有色标签, 耐用",5,6,149,392,299,提前装运,50%,149,2016/9/25,中国,中南,孝感,标签,肖良,0%,5,湖北,办公用品,消费者,CN-2016-2872339,2016/9/20,标准级,299
"Acme 大剪刀, 钢",5,6,0,724,552,提前装运,0%,0,2016/9/25,中国,中南,孝感,用品,肖良,40%,4,湖北,办公用品,消费者,CN-2016-2872339,2016/9/20,标准级,552
"Advantus 橡皮筋, 混合尺寸",2,1,3,515,393,延迟装运,1%,3,2016/9/23,中国,东北,齐齐哈尔,系固件,邱升,0%,6,黑龙江,办公用品,小型企业,CN-2016-2594036,2016/9/21,一级,393
"Stockwell 回形针, 金属",2,3,76,257,196,提前装运,39%,76,2016/9/23,中国,中南,百色,系固件,沈光,0%,3,广西,办公用品,小型企业,CN-2016-1753680,2016/9/21,二级,196
"SanDisk 信纸, 多色",2,3,188,914,698,提前装运,27%,188,2016/9/23,中国,中南,百色,纸张,沈光,0%,3,广西,办公用品,小型企业,CN-2016-1753680,2016/9/21,二级,698
"Elite 大剪刀, 蓝色",5,6,324,"1,150",878,提前装运,37%,324,2016/9/26,中国,西南,龙泉,用品,封乐,0%,4,云南,办公用品,消费者,CN-2016-5102195,2016/9/21,标准级,878
"Fiskars 修剪器, 锯齿状",5,6,178,477,364,提前装运,49%,178,2016/9/26,中国,西南,龙泉,用品,封乐,0%,2,云南,办公用品,消费者,CN-2016-5102195,2016/9/21,标准级,364
"Acco 打孔机, 透明",5,6,95,543,414,提前装运,23%,95,2016/9/26,中国,西南,龙泉,装订机,封乐,0%,3,云南,办公用品,消费者,CN-2016-5102195,2016/9/21,标准级,414
"Office Star 折叠椅, 可调",5,6,61,576,440,提前装运,14%,61,2016/9/26,中国,西南,龙泉,椅子,封乐,0%,1,云南,家具,消费者,CN-2016-5102195,2016/9/21,标准级,440
"诺基亚 充电器, 整包",5,6,"2,939","11,671","8,906",提前装运,33%,"2,939",2016/9/26,中国,西南,龙泉,电话,封乐,0%,3,云南,技术,消费者,CN-2016-5102195,2016/9/21,标准级,"8,906"
"爱普生 打印机, 白色",5,6,146,"6,385","4,873",提前装运,3%,146,2016/9/26,中国,西南,龙泉,设备,封乐,0%,4,云南,技术,消费者,CN-2016-5102195,2016/9/21,标准级,"4,873"
"Cameo 局间信封, 红色",3,3,52,623,476,准时装运,11%,52,2016/9/25,中国,西南,重庆,信封,韩廉,0%,2,重庆,办公用品,消费者,CN-2016-3566090,2016/9/22,二级,476
"Smead 可去除的标签, 白色",4,6,20,128,98,提前装运,21%,20,2016/9/26,中国,西南,重庆,标签,许根基,0%,2,重庆,办公用品,小型企业,CN-2016-4375818,2016/9/22,标准级,98
"Fiskars 剪刀, 工业",4,6,53,303,231,提前装运,23%,53,2016/9/26,中国,西南,重庆,用品,许根基,0%,2,重庆,办公用品,小型企业,CN-2016-4375818,2016/9/22,标准级,231
"Ibico 订书机, 回收",4,6,550,"1,900","1,450",提前装运,38%,550,2016/9/26,中国,西南,重庆,装订机,许根基,0%,6,重庆,办公用品,小型企业,CN-2016-4375818,2016/9/22,标准级,"1,450"
"Harbour Creations 椅垫, 可调",4,6,320,911,695,提前装运,46%,320,2016/9/26,中国,西南,重庆,椅子,许根基,0%,2,重庆,家具,小型企业,CN-2016-4375818,2016/9/22,标准级,695
"Brother 传真机, 每套两件",4,6,357,"3,117","2,378",提前装运,15%,357,2016/9/26,中国,西南,重庆,复印机,许根基,20%,2,重庆,技术,小型企业,CN-2016-4375818,2016/9/22,标准级,"2,378"
"Hoover 搅拌机, 红色",4,6,834,"2,377","1,814",提前装运,46%,834,2016/9/27,中国,华东,青岛,器具,佘凤,0%,4,山东,办公用品,公司,CN-2016-2578637,2016/9/23,标准级,"1,814"
"Rogers 盘, 工业",4,6,383,"1,140",870,提前装运,44%,383,2016/9/27,中国,华东,青岛,收纳具,佘凤,0%,3,山东,办公用品,公司,CN-2016-2578637,2016/9/23,标准级,870
"Acco 标签, 回收",4,6,21,219,167,提前装运,13%,21,2016/9/27,中国,华东,青岛,装订机,佘凤,0%,4,山东,办公用品,公司,CN-2016-2578637,2016/9/23,标准级,167
"Cardinal 标签, 透明",4,6,3,82,63,提前装运,5%,3,2016/9/27,中国,华东,青岛,装订机,佘凤,0%,2,山东,办公用品,公司,CN-2016-2578637,2016/9/23,标准级,63
"Dania 古典书架, 金属",4,6,-555,"1,505","1,149",提前装运,-48%,-555,2016/9/27,中国,华东,仪征,书架,潘雯,40%,1,江苏,家具,公司,US-2016-5844938,2016/9/23,标准级,"1,149"
"Hon 扶手椅, 红色",4,6,"3,754","11,182","8,533",提前装运,44%,"3,754",2016/9/27,中国,华东,青岛,椅子,佘凤,0%,4,山东,家具,公司,CN-2016-2578637,2016/9/23,标准级,"8,533"
"Ames 商业信封, 每套 50 个",4,6,32,358,273,提前装运,12%,32,2016/9/28,中国,东北,宽甸,信封,贺立,0%,4,辽宁,办公用品,公司,US-2016-4842730,2016/9/24,标准级,273
"Breville 咖啡研磨机, 红色",4,6,-173,681,520,提前装运,-33%,-173,2016/9/28,中国,东北,宽甸,器具,贺立,40%,3,辽宁,办公用品,公司,US-2016-4842730,2016/9/24,标准级,520
"Boston 画布, 整包",4,6,-544,198,151,提前装运,-360%,-544,2016/9/28,中国,东北,宽甸,美术,贺立,80%,3,辽宁,办公用品,公司,US-2016-4842730,2016/9/24,标准级,151
"Cuisinart 搅拌机, 白色",4,6,210,"1,195",912,提前装运,23%,210,2016/9/28,中国,华东,蚌埠,器具,严强,0%,3,安徽,办公用品,消费者,CN-2016-4896054,2016/9/24,标准级,912
"Avery 订书机, 回收",6,6,247,"3,610","2,755",准时装运,9%,247,2016/9/30,中国,华北,长治,装订机,刘婵,0%,12,山西,办公用品,消费者,US-2016-2877300,2016/9/24,标准级,"2,755"
"Eldon 灯泡, 耐用",6,6,130,816,622,准时装运,21%,130,2016/9/30,中国,华北,长治,用具,刘婵,0%,6,山西,家具,消费者,US-2016-2877300,2016/9/24,标准级,622
"贝尔金 鼠标, 回收",6,6,248,707,539,准时装运,46%,248,2016/9/30,中国,西北,铜川,配件,宋忠,0%,3,陕西,技术,小型企业,CN-2016-4171126,2016/9/24,标准级,539
"Smead 搁板, 工业",7,6,110,"2,417","1,845",延迟装运,6%,110,2016/10/1,中国,中南,郑州,收纳具,秦黎明,0%,8,河南,办公用品,公司,CN-2016-3284718,2016/9/24,标准级,"1,845"
"Fiskars 修剪器, 蓝色",7,6,97,259,197,延迟装运,49%,97,2016/10/1,中国,中南,郑州,用品,秦黎明,0%,1,河南,办公用品,公司,CN-2016-3284718,2016/9/24,标准级,197
"Safco 墙角架, 黑色",7,6,56,"3,689","2,815",延迟装运,2%,56,2016/10/1,中国,中南,郑州,书架,秦黎明,0%,4,河南,家具,公司,CN-2016-3284718,2016/9/24,标准级,"2,815"
"Harbour Creations 摇椅, 可调",7,6,28,"1,646","1,256",延迟装运,2%,28,2016/10/1,中国,中南,郑州,椅子,秦黎明,10%,2,河南,家具,公司,CN-2016-3284718,2016/9/24,标准级,"1,256"
"佳能 墨水, 彩色",7,6,312,"4,543","3,467",延迟装运,9%,312,2016/10/1,中国,中南,郑州,复印机,秦黎明,0%,5,河南,技术,公司,CN-2016-3284718,2016/9/24,标准级,"3,467"
"苹果 充电器, 整包",7,6,921,"3,891","2,969",延迟装运,31%,921,2016/10/1,中国,中南,郑州,电话,秦黎明,0%,1,河南,技术,公司,CN-2016-3284718,2016/9/24,标准级,"2,969"
"Smead 盒, 单宽度",2,3,22,66,50,提前装运,44%,22,2016/9/27,中国,华东,德州,收纳具,彭欢,0%,1,山东,办公用品,公司,CN-2016-2930075,2016/9/25,二级,50
"Ames 搭扣信封, 银色",4,6,1,117,90,提前装运,1%,1,2016/9/29,中国,中南,平南,信封,沈光,0%,2,广西,办公用品,小型企业,CN-2016-3279950,2016/9/25,标准级,90
"Hoover 搅拌机, 白色",6,6,823,"2,914","2,224",准时装运,37%,823,2016/10/1,中国,华北,天津,器具,涂丽,0%,5,天津,办公用品,消费者,CN-2016-5726249,2016/9/25,标准级,"2,224"
